-eq?	neq?
-if	-if
;	;	*
?jump	?jump
BaseBlock	BaseBlock
Compiler	Compiler
Dictionary	Latest
Free	Free
Sigils	Sigils
[	[	*
]	]	*
a:append	a:append
a:copy	a:copy
a:dup	a:dup
a:fetch	a:fetch
a:for-each	a:for-each
a:hash	a:hash
a:length	a:length
a:prepend	a:prepend
a:reverse	a:reverse
a:store	a:store
a:temp	s:temp
a:th	a:th
allot	allot
and	and
block:load	block:load
block:save	block:save
bye	bye
c:get	c:get
c:put	c:put
call	call
choose	choose
comma	comma
compare	compare
compiling?	compiling?
copy	copy
d:address	d:address
d:create	d:create
d:exists?	d:exists?
d:flags	d:flags
d:hash	d:hash
d:link	d:link
d:lookup	d:lookup
dip	dip
drop	drop
drop-pair	drop-pair
dtc	dtc
dup	dup
dup-pair	dup-pair
eq?	eq?
fetch	fetch
fetch-next	fetch-next
fill	fill
forever	forever
gc	gc
gt?	gt?
gteq?	gteq?
here	here
if	if
interpret	interpret
io	io
jump	jump
internal:lit	lit
internal:quote	quote
lt?	lt?
lteq?	lteq?
n:abs	n:abs
n:add	n:add
n:dec	n:dec
n:div	n:div
n:divmod	n:divmod
n:inc	n:inc
n:limit	n:limit
n:max	n:max
n:min	n:min
n:mod	n:mod
n:mul	n:mul
n:negate	n:negate
n:put	n:put
n:sub	n:sub
n:to-s	n:to-s
n:zero?	n:zero?
n:-zero?	n:-zero?
nip	nip
nl	nl
not	not
or	or
over	over
pop	pop
process-data	process-data
push	push
restart	restart
s:append	s:append
s:copy	a:copy
s:dup	a:dup
s:evaluate	s:evaluate
s:fetch	a:fetch
s:for-each	a:for-each
s:get/token	s:get/token
s:hash	a:hash
s:keep	s:keep
s:length	a:length
s:prepend	s:prepend
s:put	s:put
s:reverse	a:reverse
s:store	a:store
s:temp	s:temp
s:th	a:th
s:to-n	s:to-n
shift-left	shift-left
shift-right	shift-right
sigil:(	drop
sigil:#	sigil:#
sigil:&	sigil:&
sigil:'	sigil:'
sigil::	sigil::
sigil:get	sigil:get
sigil:set	sigil:set
sip	sip
sp	sp
store	store
store-next	store-next
swap	swap
sys:buffers/block	sys:buffers/block
sys:buffers/loops	sys:buffers/loops
sys:buffers/numeric-conversion	sys:buffers/numeric-conversion
sys:buffers/scope	sys:buffers/scope
sys:buffers/needs	sys:buffers/needs
sys:buffers/reserved	sys:buffers/reserved
sys:buffers/strings+arrays	sys:buffers/strings+arrays
sys:buffers/input	sys:buffers/input
tab	tab
times	times
tuck	tuck
until	until
v:dec	v:dec
v:inc	v:inc
while	while
xor	xor
